22;Xerox;WorkCentre 3615;999.000;20.000;47;letter/legal;mono;copier;20.000;0.000;0.020;0.000;https://copierleasecenter.com/copier_files/copier-images/022_workcentre3615.png;https://copierleasecenter.com/copier_files/copier-pdf/022_workcentre3615.PDF
23;Xerox;WorkCentre 3655;2354.000;47.000;47;letter/legal;mono;copier;15.000;0.000;0.018;0.000;https://copierleasecenter.com/copier_files/copier-images/023_workcentre3655.png;https://copierleasecenter.com/copier_files/copier-pdf/023_workcentre3655.PDF
24;Xerox;WorkCentre 3655i;2354.000;47.000;47;letter/legal;mono;copier;15.000;0.000;0.018;0.000;https://copierleasecenter.com/copier_files/copier-images/024_workcentre3655_i.png;https://copierleasecenter.com/copier_files/copier-pdf/024_workcentre3655_i.PDF
25;Xerox;colorQube 8700;2499.000;50.000;44;letter/legal;color;copier;20.000;0.110;0.018;0.000;https://copierleasecenter.com/copier_files/copier-images/025_colorqube8700.png;https://copierleasecenter.com/copier_files/copier-pdf/025_colorqube8700.PDF
26;Xerox;WorkCentre 6655;3270.000;65.000;36;letter/legal;color;copier;10.000;0.100;0.020;1125.000;https://copierleasecenter.com/copier_files/copier-images/026_workcentre6655.png;https://copierleasecenter.com/copier_files/copier-pdf/026_workcentre6655.PDF
27;Xerox;WorkCentre 6655i;3270.000;65.000;36;letter/legal;color;copier;10.000;0.100;0.020;1125.000;https://copierleasecenter.com/copier_files/copier-images/027_workcentre6655_i.png;https://copierleasecenter.com/copier_files/copier-pdf/027_workcentre6655_i.PDF
28;Xerox;WorkCentre 4265;3532.000;71.000;55;letter/legal;mono;copier;12.000;0.000;0.011;0.000;https://copierleasecenter.com/copier_files/copier-images/028_workcentre4265.png;https://copierleasecenter.com/copier_files/copier-pdf/028_workcentre4265.PDF
29;Xerox;colorQube 8900;4999.000;100.000;44;letter/legal;color;copier;20.000;0.060;0.015;2000.000;https://copierleasecenter.com/copier_files/copier-images/029_colorqube8900.png;https://copierleasecenter.com/copier_files/copier-pdf/029_colorqube8900.PDF
30;Xerox;WorkCentre 5325;4500.000;90.000;25;letter/legal/11x17;mono;copier;10.000;0.000;0.010;0.000;https://copierleasecenter.com/copier_files/copier-images/030_workcentre5325.png;https://copierleasecenter.com/copier_files/copier-pdf/030_031_032_workcentre5325_5330_5335.PDF
31;Xerox;WorkCentre 5330;5000.000;100.000;30;letter/legal/11x17;mono;copier;10.000;0.000;0.010;0.000;https://copierleasecenter.com/copier_files/copier-images/031_workcentre5330.png;https://copierleasecenter.com/copier_files/copier-pdf/030_031_032_workcentre5325_5330_5335.PDF
32;Xerox;WorkCentre 5335;5500.000;110.000;35;letter/legal/11x17;mono;copier;10.000;0.000;0.010;0.000;https://copierleasecenter.com/copier_files/copier-images/032_workcentre5335.png;https://copierleasecenter.com/copier_files/copier-pdf/030_031_032_workcentre5325_5330_5335.PDF
33;Xerox;WorkCentre 7220;5200.000;104.000;20;letter/legal/11x17;color;copier;8.000;0.080;0.012;0.000;https://copierleasecenter.com/copier_files/copier-images/033_workcentre7220.png;https://copierleasecenter.com/copier_files/copier-pdf/033_034_workcentre7220_7225.PDF
34;Xerox;WorkCentre 7225;6000.000;120.000;25;letter/legal/11x17;color;copier;8.000;0.080;0.012;0.000;https://copierleasecenter.com/copier_files/copier-images/034_workcentre7225.png;https://copierleasecenter.com/copier_files/copier-pdf/033_034_workcentre7220_7225.PDF
35;Xerox;WorkCentre 7220i;5200.000;104.000;20;letter/legal/11x17;color;copier;8.000;0.080;0.012;0.000;https://copierleasecenter.com/copier_files/copier-images/035_workcentre7220_i.png;https://copierleasecenter.com/copier_files/copier-pdf/035_036_workcentre7220_i_7225_i.PDF
36;Xerox;WorkCentre 7225i;6000.000;120.000;25;letter/legal/11x17;color;copier;8.000;0.080;0.012;0.000;https://copierleasecenter.com/copier_files/copier-images/036_workcentre7225_i.png;https://copierleasecenter.com/copier_files/copier-pdf/035_036_workcentre7220_i_7225_i.PDF
